etax_id	invoice_name	invoice_origin	deposit	amount_untaxed	sent_tax_basis	should_tax_basis
14930	IV260600394	SO-26060406	1167.29	1167.29	0.00	1167.29
14932	IV260600395	SO-26060405	971.03	971.03	0.00	971.03
14933	IV260600396	SO-26060419	1115.89	1115.89	0.00	1115.89
14934	IV260600397	SO-26060417	1661.68	1661.68	0.00	1661.68
14936	IV260600398	SO-26060415	11691.59	11691.59	0.00	11691.59
14937	IV260600399	SO-26060412	1271.03	1271.03	0.00	1271.03
14938	IV260600400	SO-26060383	3000	3000.00	0.00	3000.00
14939	IV260600401	SO-26060382	1769.16	1769.16	0.00	1769.16
14941	IV260600402	SO-26060379	943.9300000000001	943.93	0.00	943.93
14942	IV260600403	SO-26060377	1206.54	1206.54	0.00	1206.54
14943	IV260600404	SO-26060385	1115.89	1115.89	0.00	1115.89
14944	IV260600405	SO-26060386	4285.05	4285.05	0.00	4285.05
14945	IV260600406	SO-26060389	606.54	606.54	0.00	606.54
14953	IV260600407	SO-26060393	1308.41	1308.41	0.00	1308.41
14954	IV260600408	SO-26060399	9448.6	9448.60	0.00	9448.60
14955	IV260600409	SO-26060411	20677.57	20677.57	0.00	20677.57
14956	IV260600410	SO-26060403	6657.009999999999	6657.01	0.00	6657.01
14957	IV260600411	SO-26060395	3598.13	3598.13	0.00	3598.13
14958	IV260600412	SO-26060440	7588.79	7588.79	0.00	7588.79
14959	IV260600413	SO-26060391	13807.48	13807.48	0.00	13807.48
14960	IV260600414	SO-26060437	8079.4400000000005	8079.44	0.00	8079.44
14961	IV260600415	SO-26060401	8009.35	8009.35	0.00	8009.35
14962	IV260600416	SO-26060397	5607.48	5607.48	0.00	5607.48
14963	IV260600417	SO-26060396	3500	3500.00	0.00	3500.00
14964	IV260600418	SO-26060424	45.82	752.34	706.52	752.34
14965	IV260600419	SO-26060423	603.74	603.74	0.00	603.74
14966	IV260600420	SO-26060422	231.77999999999997	231.78	0.00	231.78
14967	IV260600421	SO-26060384	1691.59	1691.59	0.00	1691.59
14968	IV260600422	SO-26060398	4644.86	4644.86	0.00	4644.86
14969	IV260600423	SO-26060380	1406.54	1406.54	0.00	1406.54
14970	IV260600424	SO-26060604	1037.39	1037.39	0.00	1037.39
14971	IV260600425	SO-26060439	4738.32	4738.32	0.00	4738.32
14972	IV260600426	SO-26060441	3028.04	3028.04	0.00	3028.04
14973	IV260600427	SO-26060376	3028.04	3028.04	0.00	3028.04
14974	IV260600428	SO-0236507	684	684.00	0.00	684.00
14977	IV260600431	SO-26060635	1523.3600000000001	1523.36	0.00	1523.36
14979	IV260600433	SO-26060639	1046.73	1046.73	0.00	1046.73
14980	IV260600434	SO-26060645	373.83000000000004	373.83	0.00	373.83
